"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"170"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"171"	"Regular"	15	27	"13"	3	"Regular"	5	"2"
"172"	"Random"	15	11	"9"	-13	"Random"	5	"2"
"173"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"174"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"175"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"176"	"Regular"	16	25	"14"	1	"Regular"	5	"2"
"177"	"Random"	16	35	"7"	11	"Random"	5	"2"
"178"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"179"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"180"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"181"	"Regular"	17	24	"15"	0	"Regular"	5	"2"
"182"	"Random"	17	25	"7"	1	"Random"	5	"2"
"183"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"184"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"185"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"186"	"Regular"	18	27	"11"	3	"Regular"	5	"2"
"187"	"Random"	18	39	"9"	15	"Random"	5	"2"
"188"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"189"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"190"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"191"	"Regular"	19	25	"17"	1	"Regular"	5	"2"
"192"	"Random"	19	9	"6"	-15	"Random"	5	"2"
"193"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"194"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"195"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"196"	"Regular"	20	24	"13"	0	"Regular"	5	"2"
"197"	"Random"	20	28	"6"	4	"Random"	5	"2"
"198"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"199"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"200"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"201"	"Regular"	21	38	"10"	14	"Regular"	5	"2"
"202"	"Random"	21	27	"8"	3	"Random"	5	"2"
"203"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"204"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"205"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"206"	"Regular"	22	25	"12"	1	"Regular"	5	"2"
"207"	"Random"	22	26	"6"	2	"Random"	5	"2"
"208"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"209"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"210"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"211"	"Regular"	23	24	"11"	0	"Regular"	5	"2"
"212"	"Random"	23	7	"6"	-17	"Random"	5	"2"
"213"	"Iterative"	9	38	"6"	14	"Iterative"	5	"2"
"214"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"215"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"216"	"Regular"	24	26	"11"	2	"Regular"	5	"2"
"217"	"Random"	24	25	"9"	1	"Random"	5	"2"
"218"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"219"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"220"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"221"	"Regular"	25	25	"6"	1	"Regular"	5	"2"
"222"	"Random"	25	24	"9"	0	"Random"	5	"2"
"223"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"224"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"225"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"226"	"Regular"	26	24	"6"	0	"Regular"	5	"2"
"227"	"Random"	26	11	"11"	-13	"Random"	5	"2"
"228"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"229"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"230"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"231"	"Regular"	27	26	"4"	2	"Regular"	5	"2"
"232"	"Random"	27	27	"7"	3	"Random"	5	"2"
"233"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"234"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"235"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"236"	"Regular"	28	25	"9"	1	"Regular"	5	"2"
"237"	"Random"	28	24	"5"	0	"Random"	5	"2"
"238"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"239"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"240"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"241"	"Regular"	29	24	"3"	0	"Regular"	5	"2"
"242"	"Random"	29	25	"7"	1	"Random"	5	"2"
"243"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"244"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"245"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"246"	"Regular"	30	24	"10"	0	"Regular"	5	"2"
"247"	"Random"	30	24	"8"	0	"Random"	5	"2"
"248"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"249"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"250"	"Iterative"	14	25	"5"	1	"Iterative"	7	"2"
"251"	"Regular"	6	30	"4"	-3	"Regular"	5	"3"
"252"	"Random"	6	67	"3"	34	"Random"	5	"3"
"253"	"Iterative"	6	56	"4"	23	"Iterative"	5	"3"
"254"	"Iterative"	8	45	"5"	12	"Iterative"	6	"3"
"255"	"Iterative"	10	13	"7"	-20	"Iterative"	7	"3"
"256"	"Regular"	7	25	"5"	-8	"Regular"	5	"3"
"257"	"Random"	7	6	"4"	-27	"Random"	5	"3"
"258"	"Iterative"	7	6	"5"	-27	"Iterative"	5	"3"
"259"	"Iterative"	7	45	"5"	12	"Iterative"	6	"3"
"260"	"Iterative"	9	13	"7"	-20	"Iterative"	7	"3"
"261"	"Regular"	8	22	"6"	-11	"Regular"	5	"3"
"262"	"Random"	8	NA	"2"	NA	"Random"	5	"3"
"263"	"Iterative"	8	56	"3"	23	"Iterative"	5	"3"
"264"	"Iterative"	8	45	"5"	12	"Iterative"	6	"3"
"265"	"Iterative"	8	13	"6"	-20	"Iterative"	7	"3"
"266"	"Regular"	9	38	"7"	5	"Regular"	5	"3"
"267"	"Random"	9	67	"3"	34	"Random"	5	"3"
"268"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"269"	"Iterative"	9	45	"5"	12	"Iterative"	6	"3"
"270"	"Iterative"	9	13	"7"	-20	"Iterative"	7	"3"
"271"	"Regular"	10	42	"8"	9	"Regular"	5	"3"
"272"	"Random"	10	15	"6"	-18	"Random"	5	"3"
"273"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"274"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"275"	"Iterative"	10	13	"7"	-20	"Iterative"	7	"3"
"276"	"Regular"	11	67	"9"	34	"Regular"	5	"3"
"277"	"Random"	11	35	"6"	2	"Random"	5	"3"
"278"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"279"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"280"	"Iterative"	11	13	"7"	-20	"Iterative"	7	"3"
"281"	"Regular"	12	34	"10"	1	"Regular"	5	"3"
"282"	"Random"	12	24	"5"	-9	"Random"	5	"3"
"283"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"284"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"285"	"Iterative"	12	35	"7"	2	"Iterative"	7	"3"
"286"	"Regular"	13	13	"11"	-20	"Regular"	5	"3"
"287"	"Random"	13	41	"6"	8	"Random"	5	"3"
"288"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"289"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"290"	"Iterative"	13	35	"7"	2	"Iterative"	7	"3"
"291"	"Regular"	14	29	"12"	-4	"Regular"	5	"3"
"292"	"Random"	14	45	"9"	12	"Random"	5	"3"
"293"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"294"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"295"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"296"	"Regular"	15	38	"13"	5	"Regular"	5	"3"
"297"	"Random"	15	48	"8"	15	"Random"	5	"3"
